program_name,package_name,size,version,update_time,developer,icon_url
萌龙大乱斗,com.gameloft.android.ANMP.GloftDLCN.mi,155.58M,6.0.1,2021-03-16,Gameloft,http://file.market.xiaomi.com/thumbnail/PNG/l114/AppStore/094cb49b38643ce61df2b5918279de223f74312f8
应届生求职,com.yjs.android,24.76M,6.7.1,2021-03-15,前锦网络信息技术（上海）有限公司,http://file.market.xiaomi.com/thumbnail/PNG/l114/AppStore/05bcdb4d3105145f5110f66dd0fb7ea78a0668df4
收钱吧,com.wosai.cashbar,64.53M,5.2.7,2021-03-15,上海收钱吧互联网科技股份有限公司,http://file.market.xiaomi.com/thumbnail/PNG/l114/AppStore/0867cf489098e44100fb0b7a475ba6ad2d1bd8f2d
车e兴,com.anshibo.activity,42.67M,2.6.9,2021-02-08,北京车易网科技有限公司,http://file.market.xiaomi.com/thumbnail/PNG/l114/AppStore/05f6a4fbbf5b1337beb7f438290ee0bc5d2418952
狙神荣耀,com.cmcm.killshotbravo.mi,159.47M,2.6.4,2021-03-12,北京寻梦科技有限公司,http://file.market.xiaomi.com/thumbnail/PNG/l114/AppStore/03dee47744ec30a5d55387f404172b45f104029de
专业变声器,com.intotherain.voicechange,19.21M,3.9,2021-03-14,广州市意想信息技术有限公司,http://file.market.xiaomi.com/thumbnail/PNG/l114/AppStore/02d62a535d006438f1f845789226790004740e5d8
咔萌交友聊天,com.changqi.yeka_app_2c,92.03M,3.6.2,2021-03-16,上海昌契网络科技有限公司,http://file.market.xiaomi.com/thumbnail/PNG/l114/AppStore/0e194460a666b8444e2c26d3ae266405b9e41792f
晴天小狗,com.YouXin.SunnyPuppies.mi,142.57M,2.2.60,2021-03-14,北京游心乐动科技有限公司,http://file.market.xiaomi.com/thumbnail/PNG/l114/AppStore/0e3344fa566658914f8360f26360854d19f43640b
趣步运动赚钱,com.huiydzq.app,38.74M,3.2.3,2021-03-16,上海寰昌信息科技中心,http://file.market.xiaomi.com/thumbnail/PNG/l114/AppStore/0a19d44d45f6242160c0a8ad142b9d014c96e71b2
鑫汇宝贵金属黄金,com.pme91.app.android,16.38M,2.4.0,2021-03-16,鑫汇宝贵金属有限公司,http://file.market.xiaomi.com/thumbnail/PNG/l114/AppStore/02d19f56d65a84a29134ab59d4532664c055679f8
8684实时公交,cn.chinabus.main,54.44M,15.3.25,2021-03-08,广州天趣网络科技有限公司,http://file.market.xiaomi.com/thumbnail/PNG/l114/AppStore/0dde755d651ed4bc237e8e4d9a7b7e72fb27d5eb3
沪江小D词典,com.hujiang.dict,55.79M,3.6.2,2021-03-16,沪江教育科技（上海）股份有限公司,http://file.market.xiaomi.com/thumbnail/PNG/l114/AppStore/0d5994f4a1aacddfb03fe265e9be7dc17f042fc09
屠龙破晓-装备回收,com.hhsh.tlpx.mi,17.42M,3.3.19,2020-08-17,安徽三七网络科技有限公司,http://file.market.xiaomi.com/thumbnail/PNG/l114/AppStore/099625d04f8b8ef4044486f5ae362d0da9b409f00
趣看天下,com.yanhui.qktx,34.23M,3.5.8,2021-03-17,上海沿汇文化传播有限公司,http://file.market.xiaomi.com/thumbnail/PNG/l114/AppStore/036b947e763c6e18f7a81394505dc7fc2b143857e
迅捷PDF转换器-扫描阅读编辑器,com.hudun.androidpdfchanger,50.49M,4.9.0,2021-03-15,上海互盾信息科技有限公司,http://file.market.xiaomi.com/thumbnail/PNG/l114/AppStore/07213c5fa3d3d406c2afdbf763ec73eb0576a30b7
DJI GO 4,dji.go.v4,273.19M,4.3.42,2021-01-21,深圳市大疆创新科技有限公司,http://file.market.xiaomi.com/thumbnail/PNG/l114/AppStore/010565a7aa9d4e421306a57b869fd311cb643178b
可乐优品商城,com.hsb.colaproduct,54.23M,3.3.2,2021-03-15,深圳回收宝科技有限公司,http://file.market.xiaomi.com/thumbnail/PNG/l114/AppStore/04a3aa5295beb48fd1379c61311ef7d17a931807a
照片恢复精灵,com.hxdevst.picsresearch,9.14M,1.1.2,2021-03-15,北京华夏永宏科技有限公司,http://file.market.xiaomi.com/thumbnail/PNG/l114/AppStore/04edd24aae4034dcd0a00079afeb1ce88f02116b5
21财经,com.twentyfirstcbh.epaper,40.84M,7.1.2,2021-03-17,广州二十一世纪信息技术有限公司,http://file.market.xiaomi.com/thumbnail/PNG/l114/AppStore/0b43604fc784c4ab902b9c7525e39e029ef53dacd
众人帮,com.zheyouhui.app,29.52M,3.33.6,2020-12-08,北京酷酷信息服务有限公司,http://file.market.xiaomi.com/thumbnail/PNG/l114/AppStore/01a5ba53f400e492c2aca164c77814aa3c4c00568
拉风漫画,com.mylafe.ttmh,46.18M,3.30.60,2021-03-16,麦拉风(常州)网络科技有限公司,http://file.market.xiaomi.com/thumbnail/PNG/l114/AppStore/0700e489a66048e0bf343008e3138544c904147cf
神汽在线,com.yuanpin.fauna,40.41M,6.3.17,2021-03-17,浙江神汽电子商务有限公司,http://file.market.xiaomi.com/thumbnail/PNG/l114/AppStore/09b33b4a619664b082330f0ec007dcd3baf7598de
滴驾教练,com.yiren.dbaf,44.08M,4.4.1.0,2020-10-24,长沙以人智能科技有限公司,http://file.market.xiaomi.com/thumbnail/PNG/l114/AppStore/0a3715172e504a0eedd4a261280271b044943f363
卡卡日语,com.kakajapan.word,15.15M,4.2.2,2021-03-12,广州小歪科技有限公司,http://file.market.xiaomi.com/thumbnail/PNG/l114/AppStore/08b98b5ec24c2450135a545c5960de93dad9f6c3b
词道-日语单词,com.izaodao.cd,46.23M,3.0.3,2021-03-15,早道（大连）教育科技有限公司,http://file.market.xiaomi.com/thumbnail/PNG/l114/AppStore/0b2585d743f6b1d1e02e8265bd48414b96c430848
糗事百科,qsbk.app,70.73M,11.13.5,2021-03-09,友际无限(北京)科技有限公司,http://file.market.xiaomi.com/thumbnail/PNG/l114/AppStore/0e11f4b9cdc28145e0e7eed0ee2b8fa293941c2d3
药代通,com.zilue.yaodaitong,35.65M,5.0.14,2021-03-09,山东资略信息技术有限公司,http://file.market.xiaomi.com/thumbnail/PNG/l114/AppStore/0063a59e6f50f3d3db7bdd3aaa024e17ba54268f3
下厨房,com.xiachufang,34.2M,7.7.9,2021-03-15,北京瑞荻互动科技有限公司,http://file.market.xiaomi.com/thumbnail/PNG/l114/AppStore/0531e1525814a41183276849627dc20900c8a0bd6
天天果园,com.ttxg.fruitday,45.57M,8.1.5,2021-03-09,上海天天鲜果电子商务有限公司,http://file.market.xiaomi.com/thumbnail/PNG/l114/AppStore/0c2d3d5779ae74755235851cedfe1196ecf94b2a8
全世界,com.allhistory.dls.marble,185.22M,2.1.1.1,2021-03-16,北京完美知识科技有限公司,http://file.market.xiaomi.com/thumbnail/PNG/l114/AppStore/08d5661b0c1e844e4a9bf7ae95a06e5ee43b3cc20
心理测试,com.cxzapp.yidianling_atk4,33.95M,3.8.10,2020-04-13,上海袋虎信息技术有限公司,http://file.market.xiaomi.com/thumbnail/PNG/l114/AppStore/0c8415f9499baa80a8c616140e75ca5bd0b41c53a
松果倾诉-情感心理,com.app.pinealgland,56.15M,8.1.1.4,2021-03-16,广州智悦网络科技有限公司,http://file.market.xiaomi.com/thumbnail/PNG/l114/AppStore/0b6cb55aa66ea6d1f39891613394b5e3f1f437605
计步赚钱,com.ledian.app,38.74M,3.2.1,2021-03-16,上海箴格信息科技中心,http://file.market.xiaomi.com/thumbnail/PNG/l114/AppStore/02420457281936ee5c4d49b971a89abcac743bd91
乐车邦,lecar.android.view,87.46M,5.12.3,2021-03-15,上海享途网络科技有限公司,http://file.market.xiaomi.com/thumbnail/PNG/l114/AppStore/01c5349f3dca7129a3b44aaa2eedd1630314310e0
微微电话,com.yunlian.wewe,26.32M,5.6.2,2020-10-30,成都瑞安云科技股份有限公司,http://file.market.xiaomi.com/thumbnail/PNG/l114/AppStore/0909ca52a296d4bd714f5fa756d554cea496fb00b
A8体育直播,org.fungo.a8sport,73.8M,5.0.3,2021-03-08,深圳行云跃动网络科技有限公司,http://file.market.xiaomi.com/thumbnail/PNG/l114/AppStore/039a76526b951409f2975cdbb59b484ae558d7321
电商头条,com.agewnet.toutiao,18.28M,4.03,2021-03-15,深圳市头条电商网络有限公司,http://file.market.xiaomi.com/thumbnail/PNG/l114/AppStore/0a953b4bde37b4b562cd415eb952d21e35bfb6cd2
今日影视大全,cn.quicktv.androidpro,39.51M,8.0.2,2021-03-15,重庆智彩科技有限公司,http://file.market.xiaomi.com/thumbnail/PNG/l114/AppStore/0434314f2300b45aa371efa37a319b66e20b123b8
小日常,com.dandelion.routine,47.25M,2.20.8,2021-03-17,广州小日常科技有限公司,http://file.market.xiaomi.com/thumbnail/PNG/l114/AppStore/096a204731a104bb105363a88a657816b29475a9e
孕育提醒,com.ci123.pregnancy,41.95M,8.3.4,2021-03-09,南京矽汇信息技术有限公司,http://file.market.xiaomi.com/thumbnail/PNG/l114/AppStore/0306b57621f040b9fca38921084d03a187f438482
海王捕鱼,com.shouxin.hwby.mi,168.78M,1.2.49645,2021-03-15,深圳市手心游戏科技有限公司,http://file.market.xiaomi.com/thumbnail/PNG/l114/AppStore/002b857be11d5ff814e6c639190fbeb915d401ed8
多彩宝,cn.gogpay.dcb,62.22M,7.0.1,2021-03-10,贵州多彩宝互联网服务有限公司,http://file.market.xiaomi.com/thumbnail/PNG/l114/AppStore/0d30e24c424b04def3f85f5566fcf4235e9aee197
爱卡汽车-买车购车报价,com.xcar.activity,49.88M,10.5.7,2021-03-09,塞纳德（北京）信息技术有限公司,http://file.market.xiaomi.com/thumbnail/PNG/l114/AppStore/0a5ea57d82ac120a77b294e8d5810a5c6c743888f
宝贝格子,com.bbgz.android.app,35.19M,4.7.2,2021-03-16,宝贝格子（北京）科技有限公司,http://file.market.xiaomi.com/thumbnail/PNG/l114/AppStore/07d694f4a62e8817bf48c084c6d09d3dbeb412996
真人天天斗地主,com.zengame.zrttddz.mi,59.33M,5.10.056,2021-03-08,深圳市禅游科技股份有限公司,http://file.market.xiaomi.com/thumbnail/PNG/l114/AppStore/053535691a5d36cee1b8eba59c99f6503ff410b40
菠萝BOLO,com.nodemusic,29.52M,5.2.3,2021-03-10,北京峰趣互联网信息服务有限公司,http://file.market.xiaomi.com/thumbnail/PNG/l114/AppStore/053b21486f89c4f293c546466be0d50249f8d3264
一寸证件照,com.njfh.cert,25.3M,7.22,2021-03-09,南京方和网络科技有限公司,http://file.market.xiaomi.com/thumbnail/PNG/l114/AppStore/0c99d43276f3c8e6dfa94060b3c49540b9b42095f
UU跑腿,com.slkj.paotui.customer,33.29M,2.5.2.0,2021-03-15,郑州时空隧道信息技术有限公司,http://file.market.xiaomi.com/thumbnail/PNG/l114/AppStore/0b5724e32bdb3e29b262ad2e04ee5272ba44050c5
微信群发-群发助手,com.jyw.wxgroupsend,19.16M,2.1.3,2021-03-15,长沙富贵竹网络科技有限公司,http://file.market.xiaomi.com/thumbnail/PNG/l114/AppStore/0939d7477ee6a466431b5fbcbf440825393269337
久久浏览器,com.forever.browser,13.66M,2.3.9.1000,2021-03-15,北京久讯在线科技有限公司,http://file.market.xiaomi.com/thumbnail/PNG/l114/AppStore/0e31f5ec5a90ceb48df719cb5002da8e15143fe4e
猎豹清理大师,com.cleanmaster.mguard_cn,40.7M,6.19.4,2021-03-15,北京猎豹移动科技有限公司,http://file.market.xiaomi.com/thumbnail/PNG/l114/AppStore/0de2695791f31426416a1c50be1ad146e31263239
