xuhao	developer_collect
450	Google^Google（谷歌）公司
451	北京和升聚友科技有限公司
452	北京力拓飞远科技有限公司^北京力拓飞远
453	北京神指飞扬科技有限公司
454	北京时连天下科技有限公司
455	北京小刀万维科技有限公司
456	抖动青春^北京抖动青春科技有限公司
457	海南趣星网络科技有限公司^天津乐儿优科技有限公司
458	荔浦智胜科技有限公司^覃泳智
459	魔力红（深圳）网络科技有限公司
460	南京韵力恒网络科技有限公司
461	上海舫舟信息科技有限公司
462	上海慧贤网络科技有限公司
463	上海卓悠网络科技有限公司
464	深圳量多多智能科技有限公司
465	新昌县祥瑞文化传播有限公司
466	重庆可兰达科技有限公司
467	珠海市魅族科技有限公司
468	0
469	0
470	0
471	0
472	海南蜗牛信息科技有限公司
473	上海极客公社企业发展有限公司
474	上海懿瞳信息科技有限公司
475	北京墨迹风云科技股份有限公司
476	北京墨迹风云科技股份有限公司
477	上海二三四五网络科技有限公司^上海二三四五移动科技有限公司
478	上海二三四五网络科技有限公司^上海二三四五移动科技有限公司
479	上海绪津信息技术有限公司
480	上海弈玩网络科技有限公司
481	维沃移动通信有限公司
482	西安酷美易天智能科技有限公司
483	Google Play提供^北京奇虎科技有限公司^三六零科技集团有限公司
484	北京彩彻区明科技有限公司
485	北京方瀚世纪科技有限公司
486	北京神指飞扬科技有限公司^lovexia
487	北京微梦创科网络技术有限公司^星潮信息技术(成都)有限公司^微梦创科网络科技（中国）有限公司^北京新浪互联信息服务有限公司^星潮信息技术（成都）有限公司^新浪网技术（中国）有限公司
488	福建博瑞网络科技有限公司^福建风灵创景科技有限公司
489	广州聚迈软件科技有限公司^陈炎忠
490	华为软件技术有限公司
491	上海脉炬网络科技有限公司
492	上海脉蜀网络科技有限公司^上海脉芽网络科技有限公司
493	上海脉芽网络科技有限公司
494	上海嵩盟网络科技有限公司^上海脉炬网络科技有限公司
495	上海网豆网络科技有限公司
496	天网
497	西安酷美易天智能科技有限公司^西安酷派软件科技有限公司^最美天气（上海）科技有限公司
498	广州聚迈软件科技有限公司^陈炎忠
499	广州米财信息科技有限公司
500	广州小迈
501	广州小迈网络科技有限公司
502	广州小迈网络科技有限公司
503	广州小迈网络科技有限公司
504	广州小迈网络科技有限公司^广州时秋网络科技有限公司
505	广州灼耀信息科技有限公司
506	海南头角信息科技有限公司
507	郑州谆恒信息科技有限公司
508	北京恒容摩尔科技有限公司
509	广州岸边网络科技有限公司
510	广州创飞信息科技有限公司
511	湖南趣步网络科技有限公司
512	乐跑体育互联网（武汉）有限公司
513	魔力红（深圳）网络科技有限公司上海分公司^魔力红（深圳）网络科技有限公司
514	曲水萌屹网络科技有限公司^上海序言泽网络科技有限公司
515	赛博龙科技（北京）有限公司^Seblong
516	上海景赟网络科技有限公司
517	上海脉炬网络科技有限公司
518	上海诺贞信息技术有限公司
519	上海嵩盟网络科技有限公司
520	上海展盟网络科技有限公司
521	上海喆云网络科技有限公司
522	上海中彦信息科技股份有限公司
523	深圳方直科技股份有限公司^深圳市方直科技股份有限公司
524	深圳市两步路信息技术有限公司
525	讯通无限（广州）网络技术有限公司
526	鹰隼信息科技（宁波）有限公司上海分公司^鹰隼信息科技（宁波）有限公司
527	长沙数趣科技有限公司
528	北京得间科技有限公司
529	掌阅科技股份有限公司
530	掌阅科技股份有限公司^掌阅科技
531	北京多看科技有限公司
532	北京多看科技有限公司^多看科技
533	北京蓝湾博阅科技有限公司
534	北京蓝湾博阅科技有限公司^北京极动创想科技有限公司
535	华为软件技术有限公司
536	上海登庸信息技术有限公司
537	上海登庸信息技术有限公司^魔力红（深圳）网络科技有限公司
538	上海阅文信息技术有限公司^上海阅闻信息技术有限公司
539	Google Inc.
540	北京读我科技有限公司
541	北京淘阅文化科技有限公司^泉州悦动星云网络科技有限公司
542	北京天桐互动信息技术有限公司^北京天桐互动科技有限公司
